time,pelvis_tx,pelvis_ty,pelvis_tilt,q_hip_r,q_knee_r,q_ankle_r,q_hip_l,q_knee_l,q_ankle_l,dq_pelvis_tx,dq_pelvis_ty,dq_pelvis_tilt,dq_q_hip_r,dq_q_knee_r,dq_q_ankle_r,dq_q_hip_l,dq_q_knee_l,dq_q_ankle_l,ddq_pelvis_tx,ddq_pelvis_ty,ddq_pelvis_tilt,ddq_q_hip_r,ddq_q_knee_r,ddq_q_ankle_r,ddq_q_hip_l,ddq_q_knee_l,ddq_q_ankle_l
1.16,0.02222942821907752,0.03923804980601177,0.001965509673012933,0.1416174950437629,-0.2944072992230677,0.12363342258330241,0.19992253315293754,-1.1064003641349849,-0.2466295052906048,-0.042847791706223555,0.11788470458311882,-0.058066274831082974,-1.7077613496738564,1.1143212872451855,0.2481327972891085,2.5031037146926085,-2.287593420437869,2.532274222620822,-0.9146692646445911,1.318200254422128,-1.5825319562505404,-4.511201919760708,16.576114275344484,-29.831119616639665,-22.104772275499236,106.51004309944148,23.30206556990684
1.17,0.02167615775692339,0.04051111680489102,0.0011798877745714709,0.1248868607800934,-0.28290851549164825,0.12313412951735925,0.22291730926464112,-1.1191051117788833,-0.2184899859565296,-0.05564256405018687,0.12746911878496206,-0.07907795327194238,-1.6715381738562518,1.1493981383630711,-0.056015732182208774,2.2955760098601106,-1.249789948077234,2.8198001084718425,-1.2944209247157001,0.9470928453850487,-2.124981985801993,3.857329496287932,3.138471305588321,-30.338978192400386,-20.624371070046475,103.49613017354156,28.709642126620082
1.18,0.02102204359837447,0.041840437169905265,0.00029045744410918014,0.10866218773956947,-0.27182202199163613,0.12138075675519121,0.24371138549347623,-1.1216130666765434,-0.18922892527087837,-0.06557779805289948,0.13303180465008624,-0.08901653105787895,-1.621602929136531,1.1075545311000115,-0.1762990963530768,2.0742489350011204,-0.22822783706314861,2.926758881052598,-0.9765735495730256,0.5490010538442374,-0.9456571900557925,4.917788358515364,-4.245456462378821,-11.469286094653787,-22.243320756876976,102.24891525587961,10.130692545916125
1.19,0.020328869219087328,0.04318592411303057,-0.0005424676906161347,0.09242161062507492,-0.26085822730948915,0.12021721042190583,0.2621634311869484,-1.1145268759932192,-0.1604024437670769,-0.0693707028053942,0.13455704160076734,-0.0830761888511013,-1.6244925799236323,1.0964657727056162,-0.11401027300259169,1.8398753809130632,0.7298140193962932,2.8809456024018494,-0.3668300294930988,0.1426160836262907,0.6243038848065375,-0.4271710678157768,-0.981784415355321,6.574765579264323,-23.430748809808243,95.55653572337951,-4.8275869557206255
1.2,0.019611597976858578,0.04450071061948936,-0.0012908686474074529,0.07591359047097859,-0.24962673464027058,0.11970493847463919,0.2785362806825093,-1.0991282740628983,-0.13319176131621313,-0.07178521465794989,0.13137564200287818,-0.07464755304451111,-1.6515062188739709,1.1239869343670024,-0.05000143586852818,1.6325516190153246,1.558825642810244,2.7164617970904654,-0.24171031572616128,-0.3296750979484032,0.8394369261115863,-2.7272210036424704,2.829308324348441,6.2748617472696235,-20.64692892412572,82.57581367789095,-16.74057041627203
1.21,0.018852724494621557,0.04573364360593082,-0.002015577106587205,0.05923140904039512,-0.2380937859619911,0.11936584532089453,0.29322719345855575,-1.0769898609422026,-0.1058298495238465,-0.07600386829861976,0.12306039664688517,-0.07245599242130872,-1.66855703041625,1.1540045866973239,-0.0337420845601115,1.4651507616563468,2.2296322278066425,2.7381708216775387,-0.4276484167041338,-0.844493099310199,0.19998098730775374,-1.6643320024269685,2.9849505300414374,1.5113667670258146,-16.63786263425913,66.67128966995162,2.870746008155798
1.22,0.018070343456045003,0.046858086509690644,-0.0026922817507748897,0.042108461280297264,-0.22576795475145722,0.11875649915078362,0.3062622803043043,-1.048129301490554,-0.08459168928439467,-0.07828307669785636,0.112154401045824,-0.06751837539620656,-1.7136365471675488,1.2349697594225628,-0.06185859849898894,1.2991884672241438,2.9036504371317196,2.103367981723038,-0.22005222022449925,-1.0955217174530407,0.5078701759823782,-4.610101633071716,8.26673108503941,-2.9250117358301435,-16.619159687919804,67.52282583884816,-65.80415948771206
1.23,0.017237137513925166,0.0478271375261409,-0.0034109584000743855,0.024786275510176505,-0.21288686741167026,0.11788822987523648,0.3180571066288995,-1.0142611923816418,-0.06527755283936269,-0.08347591851225586,0.0964639256927934,-0.07203779651927646,-1.7325696276887192,1.2893863388993303,-0.08746448995795618,1.1764052719257994,3.399202200019886,1.929680736299051,-0.5304995735425515,-1.5835169191193692,-0.48581595545896666,-1.7856858786595031,5.317670342502021,-2.527346510854931,-12.132835742122815,48.948064412430554,-15.35514899961355
1.24,0.016279648219848064,0.0486244891667692,-0.0043954020903069525,0.008111716390357883,-0.2004690213134775,0.11686386262565399,0.3287362684469813,-0.9749695670119677,-0.04919503993512769,-0.09612574050271229,0.07925447329137032,-0.0992786544258904,-1.6652881580294994,1.2400533727890424,-0.10283211907363701,1.064829839773821,3.94461803992697,1.5980475949043405,-1.2872571325634117,-1.7233381146676228,-2.7920102759169265,6.989560613061932,-5.248850784766606,-1.5093204665913817,-11.146702311790813,54.810583622234205,-34.031311519304786
1.25,0.015062274794733894,0.04922034493065541,-0.006014867854176195,-0.006399165106655396,-0.19048043181096252,0.11624176571858039,0.3390720980964643,-0.9314448507183156,-0.0335794906458751,-0.12253194891498823,0.05899475748832777,-0.16389976614202906,-1.4443427167356573,0.9911914063897401,-0.06084859478950683,1.0328800693836162,4.364165909549356,1.5614037157186411,-2.6823694541083056,-2.0355698717085793,-6.574563602956212,22.55920412304155,-25.49274711835366,4.381171286177586,-2.9375007505216337,41.509440657980804,-2.588823956920983
1.26,0.01354570691177513,0.049608843344954655,-0.00839771460502985,-0.01828773284229209,-0.1835043685800582,0.116314674482147,0.34920708791680916,-0.8836590614842214,-0.02126321070686992,-0.15255431331648822,0.03823161609106714,-0.24058171167963627,-1.1809695637754618,0.6885377107394405,0.009421755190378304,1.012912585133771,4.791325477258198,1.220913687696835,-3.0100338517028016,-2.0770403693611854,-7.696743214477315,26.431189343179224,-30.382732867416816,7.101670432048588,-1.9822171344862998,42.78296954155534,-35.139123073136986
1.27,0.0117032145458559,0.049769451088460676,-0.01163273423046134,-0.02729795376252738,-0.17983737338374417,0.11743797729184162,0.35962940451143716,-0.8332449702746914,-0.009834212355160667,-0.18500162963756267,0.01553363680793198,-0.3254716637352032,-0.8943765322519757,0.3590603614931221,0.11478915251203362,1.0429480111792926,5.047254288314435,1.1411958057408103,-3.250158920523609,-2.2744463207502963,-8.507391481850748,28.71043887064051,-33.0063405504447,10.618330421539186,3.1233553069332336,25.175609255057715,-7.293230257870699
1.28,0.009717331189646208,0.04971850200443285,-0.015294122274048728,-0.0351866542315467,-0.17730946547031318,0.11916009022665332,0.3690023919773671,-0.7786813209213866,-0.0013956882221256685,-0.19856698478302565,-0.005118143208042565,-0.3660972541379354,-0.7891404674991049,0.2531867437506823,0.17215174570011407,0.9369267837602913,5.457076464207831,0.843455543731575,-1.352435970157404,-2.064927493384039,-4.052688228191384,10.48054106174852,-10.530719636525248,5.722227279537845,-10.6279939053853,41.00416407269916,-29.77706649033012
1.29,0.007897967522139289,0.04947943323134558,-0.018636221692978558,-0.04518329295641551,-0.171688150797252,0.12042713797061613,0.3754153794351362,-0.7184595240173177,0.004029976026292333,-0.1819167049745486,-0.023950733190448294,-0.3341871923052502,-0.9999091619518938,0.5625131671055023,0.12668039935022402,0.6407644378724581,6.023188541187489,0.5424689993911807,1.663087246516366,-1.8834659583413966,3.1856275595706514,-21.051902741151373,30.898413500766413,-4.538576573709206,-29.602224757003903,56.58304214245658,-30.03490340344781
1.3,0.006151471928910029,0.049046130435050427,-0.021919099738068014,-0.0560795707294621,-0.1646268917543368,0.12163528784435261,0.37944006292171284,-0.653515537872293,0.00851035338206762,-0.17467064684724576,-0.04338632820725059,-0.3283937921633355,-1.0893340293860958,0.7057988510283568,0.12094336867398597,0.4017143114667992,6.496514061325865,0.44624244922002954,0.719495328433875,-1.9428042013494033,0.5650028056959294,-8.875564157432446,14.237857072499262,-0.5568111537479798,-23.903159774503123,47.40047429538603,-9.793487585240127
1.31,0.004338536631967284,0.048437982041560655,-0.025533193863896894,-0.06603470352520352,-0.15863360349773836,0.12326650125732984,0.38122508228718444,-0.5822906207418995,0.007230489460131241,-0.1813245224946216,-0.06089154316327027,-0.36155635880984327,-0.9950306648972354,0.598726061954048,0.16337044664335146,0.17783610188670904,7.124351786195948,-0.13096290124516174,-0.6657399539036377,-1.7508724946756555,-3.317116495818938,9.440499422280423,-10.725349946045059,4.251091710532286,-22.35474399858375,62.69015728302468,-57.785428571680484
1.32,0.002468334554797388,0.047647688752856146,-0.029454755598115407,-0.07491070596636472,-0.15405991016933795,0.1255074170055535,0.3814056529491956,-0.5069405080476886,-0.00010546971715952927,-0.1870057673375706,-0.07912501502405522,-0.39220460847544525,-0.8872157615873139,0.4566556109331157,0.22446140510666918,0.017150588943715184,7.5363827359378925,-0.7340180434138238,-0.5626801239637393,-1.8234428305602088,-3.0510818922185097,10.759627757851408,-14.203851221151403,6.115506264315893,-16.0772145518102,41.107435180865245,-59.969423575008015
1.33,0.0006492008082667714,0.046675370357098706,-0.033406941892983065,-0.08313775332809811,-0.15084727836664422,0.12844825458723524,0.37981344215782964,-0.42938624505032935,-0.007339449520536595,-0.18182023544090414,-0.09734051451243292,-0.39507360605456504,-0.822536168345777,0.3204416919693891,0.2944920611116277,-0.16040795027989077,7.75566760015923,-0.7209345368324264,0.5263948867661619,-1.8210084802231936,-0.2659718895160412,6.438101319113907,-13.618477027956539,6.999761839763932,-17.766970825590697,21.78481206967216,1.6145959513024473
1.34,-0.0010075574501669927,0.045533534497956836,-0.0370887940708948,-0.09110718171242006,-0.1490224246030442,0.13202234800785206,0.3763731167427195,-0.3518933052067273,-0.011433481786540948,-0.16552799133260437,-0.11429122732233497,-0.3678981048962915,-0.7967931829986455,0.1813257814037953,0.35780193648164244,-0.3451976215813044,7.748109602170137,-0.40924815144793686,1.6333326390315226,-1.6931686246107964,2.729824545593398,2.5695601345686403,-13.93292575445505,6.3226182379965135,-18.45710362623192,-0.9069917540672428,30.88958586145704
1.35,-0.0024422512642670634,0.044248130760811265,-0.0403204667517096,-0.09891449813667354,-0.14884665070269518,0.13610590444849519,0.3714744386882602,-0.2769840012938613,-0.014347696983128164,-0.14324705636822743,-0.12864332291846406,-0.32267401633696596,-0.7807104329573733,0.016135165599466955,0.4086850672490278,-0.4906712762034828,7.486532940353503,-0.2881092291850227,2.2336788156125253,-1.43319170311527,4.539603030841686,1.5928808087019146,-16.531724649582948,5.076197850667363,-14.493431568346235,-26.47254938926457,12.437671360190564
1.36,-0.0035940913851615114,0.04284757149406233,-0.04291060885898018,-0.10672167328756925,-0.1504655625191597,0.14052310464398315,0.3657767636925117,-0.20828175243656802,-0.013409644430251857,-0.11489776237224682,-0.14013702528794153,-0.2583336438374418,-0.780777498454547,-0.1636173920158992,0.44186623872670433,-0.5700761116321914,6.862571681081279,0.09689338784109128,2.838746607253183,-1.1458253632484467,6.447203203669334,-0.015355377544827726,-17.98652360787641,3.2950771758816186,-7.879330380941634,-62.67723981404092,38.43565270083032
1.37,-0.00441484520654385,0.041370243408962,-0.044704118626171574,-0.11465733765702632,-0.15397531651690644,0.14499785384155844,0.3598269382074427,-0.1487175106157189,-0.00729039771160391,-0.08169529451678723,-0.1477851048193483,-0.1784165285963314,-0.793838304605466,-0.3529235975263483,0.44730625397740253,-0.5950515340385122,5.945331954647119,0.6212584857418517,3.3267398319564743,-0.7609286047000794,8.010326905917259,-1.3272883737331311,-18.93426853219542,0.5098565831980747,-2.4693548069381266,-91.99361234491182,53.04690974269849
1.3800000000000001,-0.0048520972644714245,0.039859294325591293,-0.04554932257295417,-0.12290561332292539,-0.15935327009381803,0.149143736752386,0.353806879894525,-0.10019053431820105,0.004978187327712785,-0.04327567466387724,-0.1510945023683098,-0.08339745147640738,-0.8252736593422476,-0.5397824451146037,0.4138727904837308,-0.6020894609991375,4.840081546376102,1.2272696269159393,3.8453026774505377,-0.3249712810646942,9.51195537998334,-3.1587854058880365,-18.67027159007906,-3.3981087021629928,-0.704609684449093,-110.5706247674559,59.5857894530717
1.3900000000000001,-0.004890288759791833,0.0383636310245493,-0.045399384470711415,-0.1314977727095634,-0.1665714517039034,0.15253761191231532,0.347825311956775,-0.06328275581872057,0.016436201895133846,-0.0033409139721326583,-0.14951736228402002,0.016182851390246215,-0.8595210200310911,-0.7241800392412602,0.3382463865547395,-0.5978791831777914,3.6759918210993923,1.1424161965126445,3.9923133759759932,0.16272437681691015,9.95454694240294,-3.4060814845727925,-18.460216730202767,-7.600019401446508,0.4590941861391708,-116.51721379175044,-8.881100446523154
1.4000000000000001,-0.004570248377846519,0.036919919876554325,-0.04436712092727131,-0.140089920981396,-0.17594790368659566,0.1549600404034591,0.34247624537808663,-0.03912434036782912,0.02418522263754674,0.0324074028244338,-0.14428015091508553,0.10420209183190784,-0.8587289824976118,-0.9409024517385839,0.2409010097397412,-0.533291942108715,2.3979281463516102,0.7682317710697293,3.5630695702471447,0.5276445268341423,8.769876369820457,0.16344014943192767,-21.74477961010313,-9.745641569737284,6.594442384811603,-128.00462714313835,-37.72909129938773
1.41,-0.003971188650587484,0.035555383959337994,-0.042677744159682646,-0.14813766426925182,-0.18789079228466962,0.15625710286811767,0.338583799930457,-0.02861626340686942,0.024913496010817746,0.06024990772436856,-0.13632317823176365,0.16971166266908502,-0.8036826120014781,-1.1980849853293085,0.12792092575493957,-0.38676317572926894,1.0314391942153323,0.05931364090835412,2.774970559270279,0.7990615768392201,6.522521234134145,5.563407893259933,-25.74850671508945,-11.33334072833702,14.729775508775607,-136.6595250961308,-71.5464193293284
1.42,-0.0031481447620755314,0.034287058152001795,-0.04051399392250977,-0.15528406503086545,-0.20256151771718753,0.1562110007500187,0.33655197802728226,-0.031596743302446995,0.016177578409347866,0.08261022022884514,-0.1266799357627299,0.21696675752196984,-0.7130502529659147,-1.4712794211296216,-0.0067846711234279,-0.20018014851369142,-0.3181160806177512,-0.8877659849682422,2.2296045808211185,0.9656746237589623,4.701082761318389,9.106754914364446,-27.33434501304249,-13.497801232516844,18.69408132836208,-134.88740310744785,-94.67823327963372
1.43,-0.0021271123553352382,0.03312019699947557,-0.038001938816867725,-0.16130240532514792,-0.22005092572598764,0.1546279986440433,0.33631236662266484,-0.04697459205914573,-0.0014109204013544512,0.10241604657139576,-0.1165213857924966,0.25169767106191593,-0.5998865332770964,-1.7535533168353934,-0.16094440150383746,-0.021382467497181767,-1.556378115579148,-1.772295359404485,1.9792318397689428,1.0160690961263876,3.4588033264663585,11.342536903232487,-28.240785677449004,-15.449749401907415,17.81572624791922,-123.53803192013878,-88.2817126792123
1.44,-0.0008477355186434337,0.03205623987198344,-0.03506366227877971,-0.1663926219245734,-0.2401684962570361,0.15115710752950917,0.33652181832241945,-0.07110449454961679,-0.025039991546761,0.1284792969236118,-0.106218270525714,0.2947440348529195,-0.5078618620266091,-2.015902126627929,-0.3507051205358492,0.019944879727269313,-2.423708785296934,-2.3697203673752507,2.6279620221163738,1.03057733515022,4.345310385897114,9.1087600446036,-26.157305454196642,-19.059610828509737,3.7468134898670358,-85.80183467406192,-58.97226920421333
1.45,0.0008072690343153894,0.03110872889938957,-0.03151907945471602,-0.17091992657023,-0.2626512716706565,0.1453019072870201,0.33399301893374517,-0.09505126084750774,-0.04802805032036947,0.16626649054061185,-0.0945216447734303,0.35565930338411395,-0.45187524705930077,-2.252483190097352,-0.5902326910203316,-0.2609431186011602,-2.385067899253706,-2.2909921625464724,3.798649092030045,1.173970514612288,6.115430729379545,5.560270121901414,-23.63954724485639,-24.044342501692693,-28.812068058612684,6.027080266831367,9.423867692218677
1.46,0.002799986862279871,0.0303020900088258,-0.027494237559898455,-0.17440694306342164,-0.28795214423829596,0.13670905991184812,0.3283391798109911,-0.11548121183688106,-0.06710198650836717,0.1998030896300067,-0.08037559558344474,0.40315713423413796,-0.34595168851626484,-2.536138970206932,-0.8646996430085463,-0.5695791167063873,-2.0386696410392893,-1.9004478464708874,3.325089365637183,1.4193820767207488,4.688462595725149,10.783152530600574,-28.532391005351638,-27.492537256718485,-30.418600929947985,34.03994981641425,38.92060312163978
1.47,0.005027637669658345,0.0296630647616577,-0.023191355167381914,-0.1761000853599346,-0.31676295180488934,0.12495796514711631,0.32128360153341595,-0.13504083645374534,-0.08121949109235338,0.22318389650520293,-0.06354475429866731,0.43075522292327995,-0.16526728236392374,-2.8885631621214967,-1.1818619379369497,-0.7073907659963898,-1.9559422009699359,-1.4001450888681164,2.323615706523273,1.6887112876035786,2.7349331519520863,18.187605295461875,-35.35767771922031,-31.82528757063011,-13.514752417383267,7.805021606376255,50.47412867963841
1.48,0.007357849988831645,0.02921281341082322,-0.018896365613439433,-0.17502401362403405,-0.34993571080388297,0.10946861878290239,0.31453323800646715,-0.1567005369730556,-0.08544134274546618,0.23311679559386392,-0.04461454100390833,0.4292079741102581,0.11431292020319861,-3.3272091089119735,-1.5572543975230633,-0.6730024689715474,-2.172810648018241,-0.39659975841488526,0.9577778549417755,1.8966510737568687,-0.23536745787229357,28.21190936885901,-44.07948926343374,-37.66663939226765,3.8474329155024924,-22.39534402407244,101.73881768964812
1.49,0.009732409651626214,0.028977680433411406,-0.014730699928971972,-0.1705857651921682,-0.38790519856631644,0.0891968566114623,0.307938602712255,-0.17968918394004368,-0.0805698535196647,0.23755293485395748,-0.023016744842715958,0.4162898746547034,0.45144311105234647,-3.80763647990602,-2.038614977867544,-0.6599625676540765,-2.299804588115346,0.504070886833465,0.44329460714691676,2.1666597906563854,-1.288920762525388,33.774652980992656,-48.07237108624782,-48.41767179274317,1.0325779481716157,-12.05689459848051,89.04821973350971
1.5,0.011850534660940363,0.028944306262685432,-0.011418007441798782,-0.16104788942315532,-0.43164708255936907,0.06314014133826489,0.30386395986015546,-0.20653309366162528,-0.0656585612367022,0.2109371968684482,-0.0028934494814448286,0.3286137240865588,0.9671163343504019,-4.388393690641521,-2.619596816908526,-0.39905652575676065,-2.6965261221005217,1.51654825799278,-2.76241274985618,2.0045956581037196,-9.011949559878605,52.12158492096699,-58.38931748511938,-58.30183599906365,27.01256334572311,-40.82372232690482,102.04654090580928
1.51,0.013602851546296885,0.029108082301153398,-0.009144566900112028,-0.1459001895213281,-0.4809498424725513,0.029512667226615944,0.3024741892525738,-0.23667865605024435,-0.04286276595853145,0.1743623196787317,0.016856301558837036,0.2249359455117792,1.5281366674087449,-4.943162870898179,-3.3822725051020037,-0.13332178056592975,-3.0208537464528935,2.295920586785365,-3.652987402426692,1.9765893661979708,-10.330437661150144,56.04675146803957,-55.27769951417966,-76.78391234137945,26.251934596108068,-31.776119220632513,76.88702207062492
1.52,0.01526821535047219,0.029484102334321093,-0.007102060607837955,-0.12700042624715668,-0.5334470027180346,-0.014219558779547755,0.2995109425385251,-0.26337857484162586,-0.020176299323276914,0.16652266130729004,0.03814404449981189,0.20424489059583797,1.8980409032481478,-5.256115655236302,-4.400039223994912,-0.3031914439951726,-2.6568383942705474,2.2632341954783244,-0.6919165361008823,2.133276025284461,-1.810802361207889,36.38605464077191,-30.570583898018324,-102.44639490022874,-18.303972235503434,38.436701443564054,-5.584313185256773
1.53,0.016925572232330398,0.030051709758230773,-0.005011168376426686,-0.10562484151925113,-0.5864094391220149,-0.07054311155910517,0.2934239436666909,-0.28410817749135686,-0.0006843159786039804,0.1657131851165357,0.05724412436164152,0.20924804436801692,2.14353199291271,-5.2961081011038385,-5.6663921723597435,-0.6170889185590214,-2.0569341462469897,1.9402046697690942,-0.08179847440405565,1.9017344422521383,0.5173299216382372,24.30022361329631,-3.298305073765333,-127.27113457475572,-31.51884187447528,60.233238371137716,-32.65058343763593
1.54,0.018457002251809868,0.0307682895536386,-0.003120692515486247,-0.08245076693833063,-0.6369072780593595,-0.14158769911398006,0.2851831751023443,-0.29977118765382094,0.015295867103451192,0.15273822808137297,0.07204105564490648,0.18836256376425323,2.322003269679146,-5.0417978687671505,-7.145191937944635,-0.8293214753738681,-1.553185794083987,1.5884843905054178,-1.3368773417026802,1.4674348830896689,-2.1763011730006845,17.681378778545238,26.241067073434277,-148.43748984326447,-20.865589467620133,50.011237997063205,-35.19243172080992
1.55,0.019801284385369388,0.03158748106146706,-0.0015398103713170457,-0.05836527889624496,-0.6823133288008525,-0.22861225688649833,0.2752656927971143,-0.310984066969709,0.028965752917997935,0.13388654632409416,0.08218950936723565,0.1571946970187895,2.410752916022309,-4.5253674786838225,-8.747687041017377,-0.9963337240595993,-1.1089847054990236,1.3610517669978366,-1.8977688244693278,1.0017555065934542,-3.13571838253827,8.610602235335202,52.361515258412034,-160.55959406433152,-16.613295380802448,44.28657091940871,-22.335727730344654
1.56,0.020861664865910987,0.0323086282762958,-0.0003174653826793019,-0.03270701194696731,-0.7301059267250515,-0.2949189421778027,0.264875231840713,-0.31988331725372715,0.042306289331525936,0.10518203675864511,0.07176236349237985,0.12117942872303486,2.570667705312636,-4.788910494792103,-6.557687117667131,-1.0400153587626548,-0.88392758875815,1.333719051728639,-2.900927684606284,-1.1079992344171172,-3.6149414832506896,16.255687075166424,-28.979760063799777,231.37099563259005,-3.9780202402332625,21.80965716599018,-2.1331314324466573
