time,force_r_x,force_r_y,cop_r_x,force_l_x,force_l_y,cop_l_x
1.12,-131.7611301923653,1081.3889812449524,0.1516892273825125,0.1060190992833019,-0.1160201028872274,-0.2900463120501496
1.13,-123.05270688270616,1086.0507951897252,0.1414225126762589,0.1133407885800111,-0.1233421490591522,-0.2820101209652136
1.14,-113.36936984591442,1079.7173867587007,0.133228972539669,0.0954000904225021,-0.1054014286398876,-0.2730482694739338
1.15,-103.56106615678938,1060.112701101124,0.1283157233567163,0.0425775942045541,-0.0525785728432315,-0.2630387299343268
1.16,-94.11569473075602,1032.587566468223,0.1289666751484638,-0.0470673399067863,0.0370669485309264,-0.2518588559678603
1.17,-85.35591257551216,999.6496355566212,0.1359839440675487,-0.1491624321138068,0.1391625792299307,-0.2395400599257026
1.18,-77.27302945099466,962.438564898644,0.1407371774260697,-0.2676835247132735,0.2576842168546734,-0.2260312275432371
1.19,-70.04033264829303,930.1872140301834,0.1354351679231388,-0.4023904951094066,0.3923917280389614,-0.2112863349691273
1.2,-61.600014204303505,899.7956416886079,0.1253847727260376,-0.5522936767160039,0.5422954288480246,-0.1952789476585115
1.21,-53.90789318238954,871.2508297123194,0.1143191138854393,-0.712240457247075,0.7022426627138437,-0.1780831241420892
1.22,-47.045663956851854,846.3841071052682,0.102961850931803,-0.933446964485632,0.9234498028835756,-0.1594676840182702
1.23,-41.40856320768387,826.1407812395133,0.0914218735648022,-1.1816442830378868,1.171647716165937,-0.2217930205201462
1.24,-36.90772893356731,811.0082010317972,0.0797673278290595,-1.5441974017053626,1.5342016557613762,-0.2005137384769528
1.25,-32.50244708065657,801.0565290153397,0.0681168865164777,-2.005629051741487,1.9956342554465252,-0.1643547781121096
1.26,-29.25612545112717,796.0380956513404,0.0563586200149699,-2.7516070868526294,2.7416138862330928,-0.1259761437608758
1.27,-25.839421036180013,795.4766990164018,0.0446415907950623,-3.784267105074699,3.774276099169832,-0.0854742580914081
1.28,-21.786968188416378,799.0984424696211,0.0329972729696114,-5.667880772287534,5.6578938206189,-0.0425921477209538
1.29,-17.843365409929184,806.5651790984369,0.0213534117618383,-8.999698248271262,8.989718410243784,0.0022402519926203
1.3,-12.208528752152471,817.1690684713693,0.0099091779074184,-10.69262620813646,10.68264982584659,0.0455972861691641
1.31,-7.070728861572212,831.4709375630144,-0.0015747311741832,-9.010535976625032,9.000555743786219,0.0836866887335238
1.32,-0.5619366257757729,849.1774203876914,-0.0129078064482998,-5.66094537613524,5.650958066545782,0.1064731016222591
1.33,6.819655433516957,868.1115135370817,-0.0241574774782046,-3.2705072550740515,3.260514889321658,0.0996432616371972
1.34,14.505988058106714,888.5156911115973,-0.0353848472728981,-2.479691911241714,2.469698093492268,0.075915773187981
1.35,22.492166209671595,910.3332930118096,-0.0465980583006897,-2.4944582918326588,2.484465150024483,0.0699104277379133
1.36,32.410919198927985,932.7899910930934,-0.0576299130110992,-2.73007052208806,2.7200792017966755,0.0780928897013372
1.37,43.620178150137605,955.2297280044814,-0.068544710479779,-3.0389596925509417,3.028971484942609,0.0937580700858971
1.38,54.46372310028982,977.422745762432,-0.0795051736527396,-3.4194524381755005,3.4094696424855053,0.1098090161935531
1.39,65.10854043402009,998.7406838055022,-0.0904733065455176,-3.85530057552848,3.845328213300241,0.126332885972092
1.4,76.53542407407792,1017.6891465258018,-0.1013316522382953,-4.520650911124838,4.510702916962497,0.1389468127689269
1.41,88.6484717475512,1033.5748226893954,-0.1120663746939007,-5.620333506792228,5.610457543216859,0.1464380807070297
1.42,101.217130164027,1046.1118866517554,-0.122670569025313,-7.500700309160601,7.49112929676809,0.1479443146189396
1.43,114.48714658761853,1053.799918941363,-0.1330780765579393,-10.804119256932005,10.79741790281792,0.1432174291493209
1.44,127.74222070271765,1055.5465616990543,-0.1433195794048039,-9.114484613876376,16.90908842032041,0.1641755481158956
1.45,141.21962795151555,1048.8364940549966,-0.1532744754645706,4.561652638105558,35.817119479866655,0.1993859077621399
1.46,155.11007365660433,1030.3977856754277,-0.1627769350956993,20.64184579337598,86.00411252190516,0.199749371019041
1.47,168.0526532573061,997.2084173384272,-0.1717964883106534,28.27365577738733,161.0551834901784,0.181211846222105
1.48,179.7757656724215,946.2101951041918,-0.1800910520575712,22.82309127550358,252.4675679463749,0.1625443461762636
1.49,187.63070287541936,875.3593129979691,-0.1876641977592909,2.655253370877696,347.37845701330366,0.146593996781655
1.5,188.9623485502239,784.0575020866163,-0.1945200264178716,-24.263012903043727,448.81844575716536,0.1471626745785244
1.51,181.0386774743447,672.8490353251317,-0.2007428105895981,-54.410488246962,561.2242377741253,0.1640244943277886
1.52,162.00781761025715,545.4902146269876,-0.2065601515887736,-83.51064067106098,656.4636647678132,0.177054799875887
1.53,131.4314961616636,415.0497196816803,-0.2134753165531659,-106.37653764480385,742.1861049998599,0.1857392344863676
1.54,92.02400058350024,293.811927668148,-0.2244015525590374,-123.112903428234,817.9360238185984,0.1934781547858131
1.55,49.86152788879933,177.7922487531679,-0.2409756896657075,-137.08527375477055,881.5289442366868,0.1970761674063765
1.56,-2.737609576679546,13.254224478301348,-0.4677686932575058,-144.96832261200225,936.1097227243056,0.1953787606917924
1.57,-0.8914144785765362,0.8815373626315096,-0.314300964608403,-147.26996514702688,983.2211116310772,0.1880158213560263
1.58,-0.1519438807012594,0.1419561575461292,-0.3060671105403443,-146.93561600143764,1024.2400897598377,0.1792682101582269
1.59,0.0236022075474757,-0.0336003066179826,-0.2999596981923997,-142.03923235010532,1055.3407021991134,0.1676826576519642
1.6,0.0940677218888424,-0.1040683949606899,-0.2931405429036567,-134.6585730112509,1076.9944091500815,0.1569172836878506
1.61,0.1155759846079645,-0.1255773433642212,-0.2854764534812202,-126.97740882392912,1086.5314001427091,0.1461427021936918
1.62,0.1048356238688242,-0.1148369874672954,-0.276842169274468,-117.6008101294462,1084.1763905339012,0.1372707959283465
1.63,0.0713693898775574,-0.0813706192867014,-0.2673161611051436,-107.59948032770578,1070.2348131712167,0.1288564634367664
1.64,-0.0011594294089572,-0.0088412402491461,-0.2566172629577207,-97.78187175609392,1046.3354944686714,0.1240716291352456
1.65,-0.0975445448726674,0.0875444324114504,-0.2447761299083214,-88.30107259786284,1014.1370538735548,0.1255718567264148
1.66,-0.2098107699398387,0.1998112074408668,-0.2317536384294022,-79.73541633290715,980.1467365100318,0.1326911329662393
1.67,-0.3432911062109151,0.3332921157199776,-0.2174637428918033,-72.35015872704291,943.1563650223364,0.1368165651301892
1.68,-0.4936817099480162,0.4836832660140923,-0.2018902915956709,-64.70443249708138,912.1420417165992,0.1299263746277837
1.69,-0.6625225923146812,0.6525246737427632,-0.1850321353996741,-56.61341754539037,882.9863148101775,0.1194362859140377
1.7,-0.8586649212938615,0.848667534244547,-0.1668989116314532,-49.70101531763394,856.7480523021459,0.1082233335296857
1.71,-1.0942082236789044,1.0842114133223777,-0.1883446923767453,-43.179999586246446,834.709422626749,0.0968210331568319
1.72,-1.4011399091975518,1.3911438123969306,-0.2138511848853728,-38.21343501016509,817.559598735356,0.0852205507220481
1.73,-1.7929565322129877,1.782961283085456,-0.1783608285383669,-33.786469950097974,805.3967182031051,0.0735618653837496
1.74,-2.4094377727702447,2.3994438870032586,-0.1409834368262366,-30.084442897037444,798.2954890419758,0.0618396932900885
1.75,-3.385200652385523,3.3752089429407093,-0.1016616531427029,-26.64240910892162,796.0586529214157,0.0501111818075273
1.76,-5.018273438554055,5.008285300630089,-0.0601232682704117,-22.9552493241562,797.7045027419798,0.0384233818609326
1.77,-7.427326353135621,7.417343448949711,-0.0168914243928097,-19.456144814289427,803.1868542316626,0.0267299438320771
1.78,-9.773603335984172,9.76362540571421,0.0266175371414316,-14.930401636933317,812.533727736246,0.0151619729832191
1.79,-10.171077184381232,10.16109994191292,0.0679578508144857,-9.47851100763802,825.499085096899,0.0037073908246664
1.8,-7.1958463179191705,7.1858623746449934,0.0987587073710036,-3.933240653841051,841.8878412521628,-0.0077299008920635
1.81,-4.310173123403908,4.300182894115164,0.1094100967468934,3.255365491668781,860.1343676378618,-0.0189961232700153
1.82,-2.79226279346129,2.7822694355227933,0.0900792056217314,10.943140390826914,880.0741341875329,-0.0302182258125583
1.83,-2.3920838262154005,2.3820900357491035,0.0724877133728795,18.640327227298105,900.955420737146,-0.0414542764445347
1.84,-2.5730155594891633,2.563022990004313,0.066399563026414,27.43656989732448,922.8865782295934,-0.052593486367279
1.85,-2.939228777457435,2.9292388830338054,0.0839594420217074,38.58068925495086,945.6971207039652,-0.0635064159420234
1.86,-3.220736091714222,3.210750204603732,0.1042404301471191,49.1924282471144,967.8899329623728,-0.0744860054158456
