time,marker_marker_hip_r_x,marker_marker_hip_r_y,marker_marker_hip_r_z,marker_marker_hip_l_x,marker_marker_hip_l_y,marker_marker_hip_l_z,marker_marker_shoulder_r_x,marker_marker_shoulder_r_y,marker_marker_shoulder_r_z,marker_marker_shoulder_l_x,marker_marker_shoulder_l_y,marker_marker_shoulder_l_z,marker_marker_knee_r_x,marker_marker_knee_r_y,marker_marker_knee_r_z,marker_marker_ankle_r_x,marker_marker_ankle_r_y,marker_marker_ankle_r_z,marker_marker_heel_r_x,marker_marker_heel_r_y,marker_marker_heel_r_z,marker_marker_toe_r_x,marker_marker_toe_r_y,marker_marker_toe_r_z,marker_marker_knee_l_x,marker_marker_knee_l_y,marker_marker_knee_l_z,marker_marker_ankle_l_x,marker_marker_ankle_l_y,marker_marker_ankle_l_z,marker_marker_heel_l_x,marker_marker_heel_l_y,marker_marker_heel_l_z,marker_marker_toe_l_x,marker_marker_toe_l_y,marker_marker_toe_l_z
3.02,0.043868016688180564,0.9523192576618642,0.03166666667,0.043868016688180564,0.9523192576618642,-0.03166666667,0.07433858717603695,1.5646021755628545,0.05277777778,0.07433858717603695,1.5646021755628545,-0.05277777778,0.1472646911773804,0.5579486871754007,0.02111111111,0.12226174695527221,0.08708914423148756,0.02111111111,0.03492847262740367,0.02485344357896898,0.01583333333,0.27806191963268756,0.041371777133617435,0.01583333333,0.059275218855354105,0.5416189301867731,-0.02111111111,-0.26425044699608063,0.19374230993807712,-0.02111111111,-0.3629962597108875,0.2325071895571302,-0.01583333333,-0.2482185531697118,0.01753554845709679,-0.01583333333
3.03,0.044285805181159855,0.9529795766793606,0.03166666667,0.044285805181159855,0.9529795766793606,-0.03166666667,0.0743079403893952,1.5652846465724202,0.05277777778,0.0743079403893952,1.5652846465724202,-0.05277777778,0.14204178656458002,0.5569908657976093,0.02111111111,0.11093151740645091,0.08649812449413058,0.02111111111,0.02331419965384182,0.024720659021819205,0.01583333333,0.26645340219229663,0.04115405748525568,0.01583333333,0.07247813571705078,0.5435101722854234,-0.02111111111,-0.25811438339601117,0.20245051920804613,-0.02111111111,-0.3560594352050952,0.24329635006744316,-0.01583333333,-0.24543591638594664,0.026157764182383803,-0.01583333333
3.04,0.04445725935336589,0.9537027426199427,0.03166666667,0.04445725935336589,0.9537027426199427,-0.03166666667,0.07424243486909723,1.5660193850025448,0.05277777778,0.07424243486909723,1.5660193850025448,-0.05277777778,0.1361512062190181,0.5560687850401818,0.02111111111,0.09952705023878172,0.08600857157293768,0.02111111111,0.01166242292345241,0.02464133482224414,0.01583333333,0.2548060941336851,0.04100848321480452,0.01583333333,0.08553029068040569,0.5458602410890042,-0.02111111111,-0.2511782380625178,0.2110504308231661,-0.02111111111,-0.34859544409414034,0.25335683930798447,-0.01583333333,-0.24025703146839064,0.03506914669608613,-0.01583333333
3.0500000000000003,0.04442627176876659,0.9545168817282078,0.03166666667,0.04442627176876659,0.9545168817282078,-0.03166666667,0.07415310673109697,1.566836359208982,0.05277777778,0.07415310673109697,1.566836359208982,-0.05277777778,0.1295927438160388,0.5552175763639837,0.02111111111,0.08805728430139428,0.08563616085454989,0.02111111111,-2.9838186697536684e-05,0.024643323232129644,0.01583333333,0.24312130216010916,0.04089913278260581,0.01583333333,0.09823038933299551,0.5486661577637757,-0.02111111111,-0.2432953908965177,0.21906547823133976,-0.02111111111,-0.3404412565557855,0.2622589657999205,-0.01583333333,-0.23281920388735233,0.04361719903170483,-0.01583333333
3.06,0.04421609150142489,0.955433758100533,0.03166666667,0.04421609150142489,0.955433758100533,-0.03166666667,0.0740576572992781,1.5677476548642262,0.05277777778,0.0740576572992781,1.5677476548642262,-0.05277777778,0.12241456524288785,0.5544763865032627,0.02111111111,0.07655183000051453,0.08540236955404845,0.02111111111,-0.011751806260153513,0.02477033693496762,0.01583333333,0.23141617721922494,0.04077221828268959,0.01583333333,0.11039000904676571,0.5518879821014983,-0.02111111111,-0.23445452038196093,0.2261002309013142,-0.02111111111,-0.33168299520601585,0.26944258316983033,-0.01583333333,-0.22270474504556087,0.05147361889266741,-0.01583333333
3.0700000000000003,0.043868497385039146,0.9564693511205816,0.03166666667,0.043868497385039146,0.9564693511205816,-0.03166666667,0.0739656564033559,1.5687707378887583,0.05277777778,0.0739656564033559,1.5687707378887583,-0.05277777778,0.11470092669053762,0.5538910689870822,0.02111111111,0.06504065956128481,0.08534053514370826,0.02111111111,-0.023496179219989026,0.0250845161237407,0.01583333333,0.2197047988248827,0.04057685855836558,0.01583333333,0.12170276422663198,0.555434273830198,-0.02111111111,-0.22450841629276502,0.23142705463366287,-0.02111111111,-0.3222039598213611,0.27407848904758325,-0.01583333333,-0.2097129414522257,0.05790148013505189,-0.01583333333
3.08,0.04342337214814065,0.9576333618427044,0.03166666667,0.04342337214814065,0.9576333618427044,-0.03166666667,0.07387440405355525,1.569917251778657,0.05277777778,0.07387440405355525,1.569917251778657,-0.05277777778,0.10659736627558819,0.5535109341841148,0.02111111111,0.05359786573076085,0.08549031729422446,0.02111111111,-0.035227180804423,0.025676755855250352,0.01583333333,0.20803365220293496,0.04019899812909081,0.01583333333,0.13184589739377583,0.5591665044675487,-0.02111111111,-0.21331533398235766,0.23429195194310765,-0.02111111111,-0.3118726101194027,0.2752989034621629,-0.01583333333,-0.19365768544604,0.062198082298646484,-0.01583333333
3.09,0.04284525010684936,0.9588898038886741,0.03166666667,0.04284525010684936,0.9588898038886741,-0.03166666667,0.07377729619756428,1.5711495818782526,0.05277777778,0.07377729619756428,1.5711495818782526,-0.05277777778,0.09839888856216952,0.553373462732352,0.02111111111,0.04229947213557433,0.08588737272895292,0.02111111111,-0.04690408063393096,0.026636433673538212,0.01583333333,0.19644622434042935,0.03957310499886968,0.01583333333,0.14081678323313546,0.5629794824806333,-0.02111111111,-0.20090824603492863,0.23463807498934525,-0.02111111111,-0.3006827497184579,0.27299622688290337,-0.01583333333,-0.17453151722856208,0.06449539969659673,-0.01583333333
3.1,0.04216298484322949,0.9602003261274745,0.03166666667,0.04216298484322949,0.9602003261274745,-0.03166666667,0.0736395810438528,1.5724323500455553,0.05277777778,0.0736395810438528,1.5724323500455553,-0.05277777778,0.09025234577819327,0.5534541672565223,0.02111111111,0.03106525435427407,0.08651914083301016,0.02111111111,-0.05856403804784081,0.02790242200143009,0.01583333333,0.1848795593000786,0.03894521632161537,0.01583333333,0.14864877430156836,0.5667643942496843,-0.02111111111,-0.18724608853092048,0.23249005825061675,-0.02111111111,-0.28845499122657803,0.26729038001491734,-0.01583333333,-0.15271639544036988,0.0649002567132052,-0.01583333333
3.11,0.04144343263825924,0.9615282318921285,0.03166666667,0.04144343263825924,0.9615282318921285,-0.03166666667,0.07342996130225575,1.573733825792767,0.05277777778,0.07342996130225575,1.573733825792767,-0.05277777778,0.08206431730484622,0.5536819465022956,0.02111111111,0.019761125678031143,0.08732397438397921,0.02111111111,-0.07027074067713493,0.029319655434102143,0.01583333333,0.17324673392769213,0.03859154618956308,0.01583333333,0.1554252246587299,0.5704240635414929,-0.02111111111,-0.17230042046796198,0.22805738808644005,-0.02111111111,-0.2750114675875809,0.258518738867517,-0.01583333333,-0.12863818289090762,0.06368139664790948,-0.01583333333
3.12,0.04070244787550217,0.9628272400800156,0.03166666667,0.04070244787550217,0.9628272400800156,-0.03166666667,0.07314714279106518,1.5750087237848418,0.05277777778,0.07314714279106518,1.5750087237848418,-0.05277777778,0.07375362292979182,0.5539972380982378,0.02111111111,0.00837462981424733,0.08823947976950619,0.02111111111,-0.08202518357114766,0.030806829814968913,0.01583333333,0.16154769947006314,0.03848661126280277,0.01583333333,0.1612969307607702,0.5739008621643655,-0.02111111111,-0.1560704239734346,0.22174951049918895,-0.02111111111,-0.2602095853002351,0.24725006681203907,-0.01583333333,-0.1027447245690047,0.06126204023240128,-0.01583333333
3.13,0.03992060033584527,0.9640449111673725,0.03166666667,0.03992060033584527,0.9640449111673725,-0.03166666667,0.07280893979235314,1.5762027211698257,0.05277777778,0.07280893979235314,1.5762027211698257,-0.05277777778,0.0653187938279132,0.5543548601111472,0.02111111111,-0.0030653614628007655,0.08921605492232976,0.02111111111,-0.09381416408430018,0.03233413547900017,0.01583333333,0.14980173223573365,0.038500451744028795,0.01583333333,0.1663985130184306,0.5771532791201649,-0.02111111111,-0.13865810412825472,0.21407554183369193,-0.02111111111,-0.24407232593530787,0.2339999939616723,-0.01583333333,-0.07512840133056442,0.05837346198190388,-0.01583333333
