time,residual_fx,residual_fy,residual_mz,moment_hip_r,moment_knee_r,moment_ankle_r,moment_hip_l,moment_knee_l,moment_ankle_l
0.54,-0.024764863607941834,-0.6798991473420131,-23.748682369166566,28.32478754975734,2.5476117551556623,-134.7814655344998,-6.6481774959918205,16.22967008439047,23.99253291246893
0.55,0.03181733441182644,0.01693501433553024,-21.755563200811757,24.94342797967756,4.70335875488848,-117.26872801012968,-4.673671881401907,23.389572443913696,13.88982326485128
0.56,0.13633342198318132,0.37173357107161564,-18.6207518418207,23.03936454452043,7.086618744582742,-95.96601213652103,-36.97806273852524,24.520496124700728,-1.6539986490638676
0.5700000000000001,0.10333983536262892,0.06417561882258838,-13.586904109949963,24.648966951923875,12.272592822093724,-72.15675589918176,-47.8525659820117,25.734199182876075,-17.349637346750033
0.58,0.036053232075083486,0.08633063862696844,-6.919463922180022,29.44170657069376,20.651336287998735,-47.680141340785106,-40.75597133222813,26.25378900924653,-34.79611325943178
0.59,-0.014003067848719297,0.058014299829324045,0.6463613528524768,34.39554988658892,25.88862019315522,-24.6395559009981,-38.65340929525214,25.749253180230916,-50.28110855977075
0.6,-0.08354281271243735,0.005899889423474747,11.826091016981486,18.020710592412428,1.7798984369617923,11.010481964192579,-27.76880834728009,27.104696326665195,-62.40085745594159
0.61,0.003390940690167099,-0.006262526541732427,9.74565382103792,4.0362092075916305,-8.274199893131396,10.042229124304866,-28.714971066992746,28.447134681148064,-69.87342099315568
0.62,0.01478504755758081,-0.003683738015109128,9.699449780801537,1.3803574312619293,-9.327601579476905,8.033161212964584,-23.00211044597144,30.481826618495226,-76.44810931726745
0.63,0.010452734042701195,0.017199488617592795,9.341638365575184,20.88567567271034,0.5737993159423702,6.319495211414259,-28.934697585980565,31.624072755865154,-79.31124534079744
0.64,0.013012237503460256,0.0412663912925737,8.842112009868702,20.26883481075168,1.6622532232362914,4.926461462354024,-24.142843003132093,31.726826860500626,-82.86493902765807
0.65,-0.008140289680980572,0.059303950504634884,8.34070214904304,20.21259613730516,5.205532617992777,4.184776517736322,-23.041232861795653,31.12990718487853,-85.17416226881208
0.66,-0.04790133435042776,-0.019205555759207016,7.717814528442744,22.394388371588175,11.033113045324562,4.119819628336531,-20.341361358689667,28.097902890232298,-88.77966402240205
0.67,-0.1255367695084857,0.059499133745305244,7.079645325039236,24.532581972710535,17.70652322350314,5.676816009353547,-22.754247553170746,23.181961597536286,-91.61451034433253
0.68,-0.19484343378599078,-0.024490484685371072,6.398352924269139,26.23213547669173,27.36960363076124,4.782400534222312,-20.979252320382344,15.102542473398973,-97.48986210590206
0.6900000000000001,-0.15205836847248122,-0.11309249907831997,5.760568458702842,27.003250998748662,32.68601726237319,5.846643306783457,-19.979715359060272,1.8551095329501743,-108.41300731615729
0.7000000000000001,-0.16318476563266415,-0.05433458119919976,5.226655215202356,26.879505054016473,32.22280569801711,5.393452709538795,-24.232137182421162,-15.788506185358031,-123.35526555065391
0.71,-0.04425543172521884,-0.2307078061837302,4.928423705191648,26.144727272994952,30.625022829020935,4.658970624239176,-27.302205831585418,-29.46197091140843,-133.05580324735058
0.72,0.06112741634110819,-0.1263131750342552,4.5531899223912795,25.25065423420998,25.539009784527515,3.9633114996550076,-31.880418456876765,-33.978932435847845,-132.49735214237444
0.73,0.10634130983690682,-0.17287813798748175,4.117353502686441,24.536498749619252,19.52983998902007,3.3456181012788466,-32.649450116715684,-34.85632859146592,-129.5370275366489
0.74,0.10933052313470171,0.09145380651443702,3.7107266891909045,23.804350301029515,14.570827917197391,2.994761312481189,-30.19111202259041,-34.57160741069074,-126.40714396417302
0.75,0.1310765676525989,-0.06205598315816019,3.38771124540175,23.0100651600452,10.51756745624682,2.7930943160779043,-23.86302818947241,-33.76799563750159,-123.68177852087597
0.76,0.05068753933102954,0.042436268123850596,3.1402817529034115,22.092181130073595,7.833592389589072,2.554622869314909,-20.179944118970877,-32.92911420149035,-121.35347513198197
0.77,0.20921831340780273,0.06292025457045725,2.974276336590325,21.13980584344233,5.983143223810854,3.013870540603728,-12.43201939768429,-31.537080825339345,-119.70500965990902
0.78,-0.1003241542443547,-0.17374173139637605,2.6736847354179964,19.843691486156793,5.028152842165133,2.484949748083726,-9.807489882350298,-30.72980651392424,-118.69422625690704
0.79,0.26622171337447753,0.21543527761065207,2.7004413377000844,18.857715096072518,3.537908740161133,2.430055215791845,-5.571620096212056,-29.83985480192831,-118.41125284581368
0.8,0.02102521850177652,-0.09692061008584574,2.5384024735759034,17.42703453483969,3.6772787715302884,3.332167085990739,0.9154009669685461,-28.9660838392749,-118.80636959938231
0.81,0.13093004123314955,-0.01640241390242636,2.5924455913336715,15.970988995301653,4.344535248913864,3.8370867311669907,2.870158241424764,-28.55947717574436,-119.75704600425382
0.8200000000000001,0.011916683516389526,-0.30562482481161624,2.3691193142270492,14.003897417697942,6.491005240641334,3.891092538245593,4.5283954562247715,-28.82896803492024,-121.5135213591772
0.8300000000000001,0.07050494613686453,-0.21318322238138876,1.8739793975007544,11.122423471535022,7.462246936156505,3.040441889468537,8.70009289735783,-29.17598308905039,-124.00046418552277
0.84,0.19264487698979949,-0.056774986916479975,1.084873574305206,7.22720881304604,5.547533009853053,3.2756338242615586,13.406760864692055,-29.429928073930157,-127.01646431719203
0.85,0.08445416315231746,0.3654556688988464,0.17141671100422684,3.7480595377196124,0.17992214136315932,2.779935547761393,15.997169030223581,-30.544315789190097,-130.5731030632295
0.86,0.05389701150247994,0.6325442352204789,-0.5748997666837852,-11.091492711550593,-10.521752876623934,3.990639548110627,18.905288787102755,-31.50222177851768,-134.48351259090938
0.87,-0.151670358349957,0.3645545729667674,-1.415405780664912,-30.30972512569618,-22.178435556679464,2.872886742366501,22.44136298786013,-31.999542383837202,-138.54827910342186
0.88,-0.0385658865129912,0.07881358207254152,-2.136420025948482,-54.52777199151859,-31.043468710632045,4.293231332414049,24.964578257873306,-32.66401242524874,-142.94534975828273
0.89,-0.17947062398668834,0.018369900526749916,-3.20147384856741,-71.0679858003844,-40.59969066200482,-0.9979856071554165,27.254195974934873,-33.77177650654114,-147.83257248853235
0.9,-0.07263525565785756,0.09448359464694533,-4.078258689131104,-74.06814340661225,-47.456358177665656,-2.5137110924752175,30.247325522193282,-33.771671193605535,-152.39279971627164
0.91,-0.00924240811103516,-0.0320719593267178,-5.080619295876936,-77.31309343334033,-51.45084744787751,-2.4393259846823776,32.700592363202006,-33.09197022329842,-156.84077225773112
0.92,0.001432844958401347,-0.015821380829844855,-6.188772036137252,-81.04413935069093,-55.22389411445284,-4.790822442384528,35.44598205280998,-31.758304335014767,-161.0708182889491
0.93,0.025007923137664534,-0.05596126347169772,-7.33031677517328,-79.5598171361954,-56.05788590991445,-6.420482598775907,38.51074145964332,-29.405406409582103,-164.57386214055148
0.9400000000000001,0.05682716053733827,-0.10650483784873188,-8.573636611324076,-73.3498836912499,-54.288812701024874,-7.214981478012776,40.85682875083032,-26.261325982406195,-167.56212169407755
0.9500000000000001,0.034478105023808325,-0.11018650303554267,-9.923069686387926,-65.60125921647801,-49.84753385058438,-7.1894735734048965,41.72138606206748,-22.74357855774497,-169.89219550340246
0.96,-0.06933735846320133,0.2714464152918339,-11.428656648968584,-61.774200274852674,-42.7230595602655,-4.952781984090079,42.29644422267954,-19.003028546114024,-171.2646154948786
