time,pelvis_tx,pelvis_ty,pelvis_tilt,q_hip_r,q_knee_r,q_ankle_r,q_hip_l,q_knee_l,q_ankle_l
2.0,0.0161385651310818,0.0298611570073229,-0.0060379732998836,0.2954345776354555,-0.2710354023107155,-0.0101432186066934,-0.1183372315327198,-0.5553140226863992,-0.0369393784103406
2.01,0.017690827085158,0.0304931288376536,-0.0042218568508955,0.2888979254256287,-0.2899167088839366,0.0069281258015116,-0.0959151999385174,-0.6074053414155703,-0.0991577164255508
2.02,0.0190832193947205,0.0312530797838502,-0.002666060971427,0.2804383445858184,-0.3039916637932348,0.0210305869446135,-0.0720293442340311,-0.6559030649647211,-0.1768408570055024
2.03,0.0202638283800161,0.0320364532542048,-0.001393853883071,0.2706714640415375,-0.3144221980785033,0.0339454703563974,-0.0471298233645437,-0.7018964284089081,-0.2570744957651705
2.04,0.0212273020794854,0.0327140867122135,-0.0002714184071617,0.2599993612354065,-0.322332567134245,0.0472302768907526,-0.021043536223719,-0.7511461665377689,-0.3111111270204728
2.05,0.022042712221978,0.0333285968025195,0.0008775218861007,0.2480697399976148,-0.3275698491856075,0.0607722767990937,0.0056528376466749,-0.8033832295132555,-0.3380889832124292
2.06,0.0226850819456637,0.0339346212910272,0.0019435986620087,0.2349412751541133,-0.3300119228264996,0.0741838397065512,0.0329650875260291,-0.8569795395025696,-0.3450896762781512
2.07,0.0230797141605561,0.0345794250771929,0.0026759841892981,0.2210470059111423,-0.3298144207663216,0.0867988902185988,0.0612282093332775,-0.910061375695898,-0.3402301996804974
2.08,0.0232389371470122,0.0352943859234031,0.0030629766575377,0.2065389545887608,-0.3272766955951445,0.0981097484596238,0.0901238247368616,-0.9610235512476284,-0.3290464855049466
2.09,0.0232049387114662,0.036106504197787,0.0031582548424786,0.1912731684926988,-0.322283869166911,0.1078295231851587,0.1190701295318194,-1.008002859906597,-0.3143878214687312
2.1,0.0230006796922726,0.0370273544194952,0.0029708831153967,0.1753074613096255,-0.3149493391660329,0.1156037858748032,0.1475936356217153,-1.0496198331361155,-0.2948946152281408
2.11,0.0226662795902594,0.0380717963791547,0.0025534569731799,0.1586979575726919,-0.3055110299755738,0.1210971300676995,0.1748524945096417,-1.0832912158805632,-0.2718825892875097
2.12,0.0222394282190775,0.0392480498060117,0.0019755096730129,0.1416274950437629,-0.2943972992230677,0.1236434225833024,0.1999325331529375,-1.1063903641349848,-0.2466195052906047
2.13,0.0216861577569233,0.040521116804891,0.0011898877745714,0.1248968607800934,-0.2828985154916483,0.1231441295173592,0.2229273092646411,-1.1190951117788832,-0.2184799859565296
2.14,0.0210320435983744,0.0418504371699052,0.0003004574441091,0.1086721877395694,-0.2718120219916362,0.1213907567551912,0.2437213854934762,-1.1216030666765433,-0.1892189252708783
2.15,0.0203388692190873,0.0431959241130305,-0.0005324676906161,0.0924316106250749,-0.2608482273094892,0.1202272104219058,0.2621734311869483,-1.1145168759932191,-0.1603924437670769
2.16,0.0196215979768585,0.0445107106194893,-0.0012808686474074,0.0759235904709786,-0.2496167346402705,0.1197149384746392,0.2785462806825092,-1.0991182740628982,-0.1331817613162131
2.17,0.0188627244946215,0.0457436436059308,-0.0020055771065872,0.0592414090403951,-0.2380837859619911,0.1193758453208945,0.2932371934585557,-1.0769798609422023,-0.1058198495238464
2.18,0.018080343456045,0.0468680865096906,-0.0026822817507748,0.0421184612802972,-0.2257579547514572,0.1187664991507836,0.3062722803043042,-1.048119301490554,-0.0845816892843946
2.19,0.0172471375139251,0.0478371375261409,-0.0034009584000743,0.0247962755101765,-0.2128768674116702,0.1178982298752364,0.3180671066288995,-1.0142511923816415,-0.0652675528393626
2.2,0.016289648219848,0.0486344891667692,-0.0043854020903069,0.0081217163903578,-0.2004590213134774,0.116873862625654,0.3287462684469812,-0.9749595670119676,-0.0491850399351277
2.21,0.0150722747947338,0.0492303449306554,-0.0060048678541761,-0.0063891651066553,-0.1904704318109625,0.1162517657185804,0.3390820980964643,-0.9314348507183156,-0.0335694906458751
2.22,0.0135557069117751,0.0496188433449546,-0.0083877146050298,-0.018277732842292,-0.1834943685800582,0.116324674482147,0.3492170879168091,-0.8836490614842213,-0.0212532107068699
2.23,0.0117132145458559,0.0497794510884606,-0.0116227342304613,-0.0272879537625273,-0.1798273733837441,0.1174479772918416,0.3596394045114371,-0.8332349702746913,-0.0098242123551606
2.24,0.0097273311896462,0.0497285020044328,-0.0152841222740487,-0.0351766542315467,-0.1772994654703131,0.1191700902266533,0.369012391977367,-0.7786713209213866,-0.0013856882221256
2.25,0.0079079675221392,0.0494894332313455,-0.0186262216929785,-0.0451732929564155,-0.171678150797252,0.1204371379706161,0.3754253794351361,-0.7184495240173177,0.0040399760262923
2.26,0.00616147192891,0.0490561304350504,-0.021909099738068,-0.0560695707294621,-0.1646168917543368,0.1216452878443526,0.3794500629217128,-0.6535055378722929,0.0085203533820676
2.27,0.0043485366319672,0.0484479820415606,-0.0255231938638968,-0.0660247035252035,-0.1586236034977383,0.1232765012573298,0.3812350822871844,-0.5822806207418995,0.0072404894601312
2.28,0.0024783345547973,0.0476576887528561,-0.0294447555981154,-0.0749007059663647,-0.1540499101693379,0.1255174170055535,0.3814156529491955,-0.5069305080476886,-9.546971715952928e-05
2.29,0.0006592008082667,0.0466853703570987,-0.033396941892983,-0.0831277533280981,-0.1508372783666442,0.1284582545872352,0.3798234421578296,-0.4293762450503294,-0.0073294495205365
2.3000000000000003,-0.0009975574501669,0.0455435344979568,-0.0370787940708948,-0.09109718171242,-0.1490124246030442,0.132032348007852,0.3763831167427194,-0.3518833052067273,-0.0114234817865409
2.31,-0.002432251264267,0.0442581307608112,-0.0403104667517096,-0.0989044981366735,-0.1488366507026951,0.1361159044484952,0.3714844386882601,-0.2769740012938613,-0.0143376969831281
2.32,-0.0035840913851615,0.0428575714940623,-0.0429006088589801,-0.1067116732875692,-0.1504555625191597,0.1405331046439831,0.3657867636925117,-0.208271752436568,-0.0133996444302518
2.33,-0.0044048452065438,0.0413802434089619,-0.0446941186261715,-0.1146473376570263,-0.1539653165169064,0.1450078538415584,0.3598369382074426,-0.1487075106157188,-0.0072803977116039
2.34,-0.0048420972644714,0.0398692943255912,-0.0455393225729541,-0.1228956133229253,-0.159343270093818,0.149153736752386,0.3538168798945249,-0.100180534318201,0.0049881873277127
2.35,-0.0048802887597918,0.0383736310245493,-0.0453893844707114,-0.1314877727095633,-0.1665614517039033,0.1525476119123153,0.347835311956775,-0.0632727558187205,0.0164462018951338
2.36,-0.0045602483778465,0.0369299198765543,-0.0443571209272713,-0.140079920981396,-0.1759379036865956,0.1549700404034591,0.3424862453780866,-0.0391143403678291,0.0241952226375467
2.37,-0.0039611886505874,0.0355653839593379,-0.0426677441596826,-0.1481276642692518,-0.1878807922846696,0.1562671028681176,0.3385937999304569,-0.0286062634068694,0.0249234960108177
2.38,-0.0031381447620755,0.0342970581520017,-0.0405039939225097,-0.1552740650308654,-0.2025515177171875,0.1562210007500187,0.3365619780272822,-0.031586743302447,0.0161875784093478
2.39,-0.0021171123553352,0.0331301969994755,-0.0379919388168677,-0.1612924053251479,-0.2200409257259876,0.1546379986440433,0.3363223666226648,-0.0469645920591457,-0.0014009204013544
2.4,-0.0008377355186434,0.0320662398719834,-0.0350536622787797,-0.1663826219245734,-0.240158496257036,0.1511671075295091,0.3365318183224194,-0.0710944945496167,-0.0250299915467609
2.41,0.0008172690343153,0.0311187288993895,-0.031509079454716,-0.17090992657023,-0.2626412716706565,0.1453119072870201,0.3340030189337451,-0.0950412608475077,-0.0480180503203694
2.42,0.0028099868622798,0.0303120900088258,-0.0274842375598984,-0.1743969430634216,-0.287942144238296,0.1367190599118481,0.328349179810991,-0.115471211836881,-0.0670919865083671
2.43,0.0050376376696583,0.0296730647616577,-0.0231813551673819,-0.1760900853599346,-0.3167529518048894,0.1249679651471163,0.3212936015334159,-0.1350308364537453,-0.0812094910923533
2.44,0.0073678499888316,0.0292228134108232,-0.0188863656134394,-0.175014013624034,-0.349925710803883,0.1094786187829024,0.3145432380064671,-0.1566905369730556,-0.0854313427454661
2.45,0.0097424096516262,0.0289876804334114,-0.0147206999289719,-0.1705757651921682,-0.3878951985663165,0.0892068566114623,0.3079486027122549,-0.1796791839400436,-0.0805598535196646
2.46,0.0118605346609403,0.0289543062626854,-0.0114080074417987,-0.1610378894231553,-0.4316370825593691,0.0631501413382649,0.3038739598601554,-0.2065230936616252,-0.0656485612367022
2.47,0.0136128515462968,0.0291180823011534,-0.009134566900112,-0.1458901895213281,-0.4809398424725513,0.0295226672266159,0.3024841892525737,-0.2366686560502443,-0.0428527659585314
2.48,0.0152782153504721,0.029494102334321,-0.0070920606078379,-0.1269904262471566,-0.5334370027180345,-0.0142095587795477,0.299520942538525,-0.2633685748416259,-0.0201662993232769
2.49,0.0169355722323304,0.0300617097582307,-0.0050011683764266,-0.1056148415192511,-0.5863994391220149,-0.0705331115591051,0.2934339436666908,-0.2840981774913569,-0.0006743159786039
2.5,0.0184670022518098,0.0307782895536386,-0.0031106925154862,-0.0824407669383306,-0.6368972780593595,-0.14157769911398,0.2851931751023442,-0.299761187653821,0.0153058671034511
2.51,0.0198112843853693,0.031597481061467,-0.001529810371317,-0.0583552788962449,-0.6823033288008524,-0.2286022568864983,0.2752756927971143,-0.310974066969709,0.0289757529179979
2.52,0.0208716648659109,0.0323186282762957,-0.0003074653826793,-0.0326970119469673,-0.7300959267250514,-0.2949089421778027,0.2648852318407129,-0.3198733172537272,0.0423162893315259
2.53,0.0217504982266673,0.0329536221619675,0.0008529872776229,-0.0061295504604811,-0.7813908110906804,-0.3322132474462068,0.253419789317537,-0.3261889057589597,0.0560291233016616
2.54,0.0224442812008997,0.0335492639802945,0.0019330955202099,0.0210989439670213,-0.8351506874123906,-0.3456420995638844,0.2411197741236113,-0.3302977204658493,0.0693315297143939
2.5500000000000003,0.0229022558115125,0.0341725277869596,0.0027275860669269,0.049267783450011,-0.8887728060987456,-0.3449893071892348,0.2277757750273813,-0.3313597876038398,0.0821388871883273
2.56,0.023120261446712,0.0348543905779797,0.003188072114518,0.0781924974517401,-0.9409564289443244,-0.3356896024186053,0.2137995198875193,-0.3300609554090742,0.0937431334418605
2.57,0.0231542394186073,0.0356252485720301,0.003406206386201,0.1072477324039756,-0.9898978789858264,-0.3213574325961703,0.1989157116813704,-0.3261931283789334,0.1040795494514515
2.58,0.0230146296771423,0.0365041686935583,0.0033564945801582,0.1360171820222815,-1.0338139101091297,-0.3040621392203346,0.1832932040896243,-0.3199703184233297,0.1126427054234256
2.59,0.0227771190274145,0.0374996449685912,0.003175696254662,0.1636966090218591,-1.071231683546741,-0.2804202652060948,0.1664544215070018,-0.3108898497415508,0.1195681372722037
2.6,0.0224612426027753,0.0386275338814969,0.0028659108128643,0.1895372735097036,-1.099112915368742,-0.2561641822274841,0.148648292782339,-0.2993633381013305,0.1241068442074715
2.61,0.0220432780131299,0.0398684832623687,0.0023618391746035,0.2132118674009293,-1.116427951431051,-0.2291037812905502,0.1306176288326402,-0.2865028133654256,0.1256395933485217
2.62,0.0215023431432559,0.0411868026022376,0.0016547319114552,0.2347678178089401,-1.1232860075779365,-0.2003831698923522,0.1130168506209982,-0.273447478462689,0.1242235391512872
2.63,0.0208250712283082,0.0425395036342357,0.0007454765275166,0.2542291687948396,-1.1198597966851949,-0.1719294124201164,0.0964271054525571,-0.2615304700856811,0.1217882475759303
2.64,0.0200668262025602,0.043882038019414,-0.0002233107664982,0.2715704076839359,-1.1071784696554987,-0.1446435467666992,0.0803511370544819,-0.2504688388122395,0.1203033509856364
2.65,0.019251412897091,0.0451671685355897,-0.0012015080770809,0.2870333080244398,-1.086671823845191,-0.1191278836430429,0.0644223388469548,-0.2396781682429679,0.1195047782400436
2.66,0.0183813758128794,0.0463513186468543,-0.0022005679658552,0.3008902213671556,-1.0595882286280067,-0.0955026799533827,0.0484988920463429,-0.2288121865014436,0.1188772663896523
2.67,0.0174105219543251,0.0473941059324186,-0.0033566060859379,0.3135977153717225,-1.0270652996012002,-0.0739478341196742,0.0330286221561547,-0.2183387068464641,0.1182778848241054
2.68,0.0163390210038152,0.0482675442897057,-0.0046938439721926,0.3252846236892813,-0.9897523222964796,-0.0550782379502525,0.0179683741261393,-0.2081203359696582,0.1176656247272261
2.69,0.0151234389869685,0.0489476329121736,-0.0063505604101609,0.3362132838406076,-0.9482733589086554,-0.0377961534364212,0.0038081556593126,-0.1987488884248084,0.1172217306752115
2.7,0.0137789428645323,0.0494242990942652,-0.0083171826819916,0.3462858637427387,-0.9026632236040422,-0.0236035300125975,-0.0096038784503727,-0.1899816300581864,0.1169699789904882
2.71,0.0123070808371955,0.049689101779111,-0.0106167205642419,0.3555644272335729,-0.8533203074562713,-0.0133540795082727,-0.0222753108607604,-0.1817722845813414,0.1170040819347173
2.72,0.0106855966380955,0.0497378483910342,-0.0133375986249478,0.3640675788859108,-0.8005157420974134,-0.0048484494157839,-0.0338308572599097,-0.174661319387124,0.1175598474988405
2.73,0.0089503166385872,0.0495768907923205,-0.0164229106230572,0.3714675235854492,-0.7440613393742679,0.002499047927407,-0.0445347670733307,-0.1683205005383989,0.1185978146758422
2.74,0.0071478549938593,0.0492223732449638,-0.0197908926563846,0.3771492117684184,-0.682935093119642,0.0078728209351238,-0.0546687178119447,-0.1624451120855804,0.1199890174778785
2.75,0.0052977647474828,0.0486932611776117,-0.0234252491529472,0.3805713217914408,-0.6157650145889715,0.0079989254623906,-0.0641489797399972,-0.1572466246290415,0.1217087157049761
2.76,0.0034144962233259,0.0479942299442121,-0.027318597375897,0.3815477021594519,-0.5422926956652224,0.0032219798126615,-0.072824451208277,-0.1530597809758997,0.1238571398960617
2.77,0.0014997592898339,0.0471205365996802,-0.0314744683952987,0.3806586947316464,-0.4642423510532962,-0.006627709956458,-0.0805271117099261,-0.1502396214694672,0.1266569654562732
2.78,-0.000363701450066,0.0460659426902654,-0.0356612043649784,0.3785028173861186,-0.385589010804635,-0.0146932714106473,-0.0875306785507037,-0.148878984907699,0.1302113039908814
2.79,-0.0020702063980715,0.0448463683884511,-0.0395716947506831,0.375437005204669,-0.3098538723428484,-0.0190677399574945,-0.0942286782885239,-0.1490131785509492,0.1344360211256931
2.8000000000000003,-0.0034300081948756,0.0434908227814786,-0.0426973043508097,0.3706984139415711,-0.2389497935390689,-0.0124794043460451,-0.1014910823011194,-0.150268688731779,0.1389539334400295
2.81,-0.004356439132274,0.0420502121589874,-0.0447754438685441,0.3640830920909213,-0.1737231510606528,-0.0055290515831583,-0.1095899768940053,-0.1527187534055984,0.1433606296605611
2.82,-0.0049021287733531,0.0405608049276254,-0.0459091121042382,0.3571013632240947,-0.1181543129023063,0.0013008305188214,-0.1180771112086644,-0.1569053164724509,0.1475497039570854
2.83,-0.0050884599599099,0.0390601615981482,-0.046144103585173,0.3506647466846719,-0.0750872094782525,0.011627608506365,-0.126733079671954,-0.1630601508770428,0.1512573895162995
2.84,-0.0049232699716736,0.0375925925815975,-0.0454984491008079,0.3450962290655575,-0.0454671162638355,0.0213334257910989,-0.135394270703084,-0.1713682689033843,0.1541512333335697
2.85,-0.0044369374389535,0.0361948351344252,-0.0440681905337654,0.340792815113727,-0.0299937812573367,0.0261871439462755,-0.1437066866830981,-0.1822246098032071,0.1559966895712325
2.86,-0.0036922092513542,0.0348889775634047,-0.0420501126967632,0.3381951328178392,-0.0285136921390406,0.0230942278749161,-0.1512708399792981,-0.1958205851137734,0.1565753620512921
2.87,-0.0027229885049856,0.0336865616023613,-0.0395843705548667,0.3372754066822758,-0.0397502656640647,0.009341561561541,-0.1578657738799002,-0.2121812739307535,0.1556455768718795
2.88,1.5000000000000002e-05,0.0317666182432357,-0.033197279738741,0.3334010235663167,-0.0784795471819276,-0.0391559737656153,-0.1689149760905069,-0.2486467802854555,0.1486649462440569
2.89,0.0019084965256655,0.0308904000754483,-0.0292253598988357,0.3281090723050614,-0.0987876852197669,-0.0615650945715872,-0.1732401538378429,-0.2724596451557727,0.1415553306515777
2.9,0.0039575412640836,0.0301548728540476,-0.025210706410576,0.3221291305058374,-0.1191055470849445,-0.0781034749138744,-0.1755118209885312,-0.2998219173258261,0.1317599411739097
2.91,0.0059978830558608,0.0295745426663327,-0.0215121425747108,0.3179625029022808,-0.143610120702429,-0.0842204239598767,-0.1746916964908091,-0.3315606632408513,0.1189151044047053
2.92,0.00813393592789,0.0291917372538488,-0.0178215991296551,0.3141640498423583,-0.1704766709386222,-0.0788518837055112,-0.1710486182002892,-0.3676131193746947,0.1018577131286265
2.93,0.010498543806196,0.0290540884475198,-0.0137844860380912,0.30778018085801,-0.1940883161157117,-0.0699405745721362,-0.1650278275553415,-0.4075742584119877,0.0790321967016682
2.94,0.0127210990033964,0.0291376132366851,-0.0102847187128982,0.3020567182191099,-0.2184622137116088,-0.0546660608539732,-0.1545461882428903,-0.4526085867181673,0.0494750000449452
2.95,0.0144904703101985,0.0294051827093571,-0.008018690896431,0.2996508502815775,-0.2468994609431071,-0.0312229835102622,-0.1382012489712089,-0.5028424906846766,0.0116958087453273
2.96,0.0161485651310818,0.0298711570073229,-0.0060279732998836,0.2954445776354555,-0.2710254023107155,-0.0101332186066934,-0.1183272315327198,-0.5553040226863992,-0.0369293784103405
2.97,0.017700827085158,0.0305031288376536,-0.0042118568508955,0.2889079254256287,-0.2899067088839366,0.0069381258015116,-0.0959051999385174,-0.6073953414155704,-0.0991477164255508
2.98,0.0190932193947205,0.0312630797838502,-0.002656060971427,0.2804483445858184,-0.3039816637932347,0.0210405869446135,-0.0720193442340311,-0.6558930649647211,-0.1768308570055025
2.99,0.0202738283800161,0.0320464532542048,-0.001383853883071,0.2706814640415375,-0.3144121980785033,0.0339554703563974,-0.0471198233645437,-0.7018864284089081,-0.2570644957651705
3.0,0.0212373020794854,0.0327240867122135,-0.0002614184071617,0.2600093612354066,-0.322322567134245,0.0472402768907527,-0.021033536223719,-0.7511361665377689,-0.3111011270204727
3.01,0.022052712221978,0.0333385968025196,0.0008875218861007,0.2480797399976148,-0.3275598491856075,0.0607822767990937,0.0056628376466749,-0.8033732295132555,-0.3380789832124292
3.02,0.0226950819456637,0.0339446212910272,0.0019535986620087,0.2349512751541133,-0.3300019228264996,0.0741938397065512,0.0329750875260291,-0.8569695395025696,-0.3450796762781511
3.03,0.0230897141605561,0.0345894250771929,0.0026859841892981,0.2210570059111423,-0.3298044207663216,0.0868088902185988,0.0612382093332775,-0.910051375695898,-0.3402201996804974
3.04,0.0232489371470122,0.0353043859234031,0.0030729766575377,0.2065489545887608,-0.3272666955951445,0.0981197484596238,0.0901338247368616,-0.9610135512476284,-0.3290364855049466
3.0500000000000003,0.0232149387114662,0.036116504197787,0.0031682548424786,0.1912831684926988,-0.322273869166911,0.1078395231851587,0.1190801295318194,-1.0079928599065973,-0.3143778214687312
3.06,0.0230106796922726,0.0370373544194952,0.0029808831153967,0.1753174613096255,-0.3149393391660329,0.1156137858748032,0.1476036356217153,-1.0496098331361157,-0.2948846152281408
3.0700000000000003,0.0226762795902594,0.0380817963791547,0.0025634569731799,0.1587079575726919,-0.3055010299755737,0.1211071300676995,0.1748624945096416,-1.0832812158805631,-0.2718725892875097
3.08,0.0222494282190775,0.0392580498060117,0.0019855096730129,0.1416374950437628,-0.2943872992230677,0.1236534225833024,0.1999425331529375,-1.1063803641349848,-0.2466095052906048
3.09,0.0216961577569233,0.040531116804891,0.0011998877745714,0.1249068607800934,-0.2828885154916483,0.1231541295173592,0.2229373092646411,-1.1190851117788831,-0.2184699859565296
3.1,0.0210420435983744,0.0418604371699052,0.0003104574441091,0.1086821877395694,-0.2718020219916361,0.1214007567551912,0.2437313854934762,-1.1215930666765432,-0.1892089252708783
3.11,0.0203488692190873,0.0432059241130305,-0.0005224676906161,0.0924416106250749,-0.2608382273094892,0.1202372104219058,0.2621834311869483,-1.114506875993219,-0.1603824437670769
3.12,0.0196315979768585,0.0445207106194893,-0.0012708686474074,0.0759335904709786,-0.2496067346402705,0.1197249384746391,0.2785562806825092,-1.099108274062898,-0.1331717613162131
